2017-02-23 14:20:36,994 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@539d318: startup date [Thu Feb 23 14:20:36 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2017-02-23 14:51:31,746 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2017-02-23 14:51:31,823 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2017-02-23 14:51:32,167 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2017-02-23 14:51:32,791 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2017-02-23 15:11:33,914 | WARN  | Transport Connection to: tcp://127.0.0.1:55957 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55957@61616
2017-02-23 15:12:54,108 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@539d318: startup date [Thu Feb 23 15:12:54 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2017-02-23 15:12:55,044 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 15:12:55,069 | INFO  | Database ..\..\data\kahadb\lock is locked by another server. This broker is now in slave mode waiting a lock to be acquired | org.apache.activemq.store.SharedFileLocker | WrapperSimpleAppMain
2017-02-23 15:13:09,034 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-49225-1487832690485-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-02-23 15:13:09,036 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 15:13:09,037 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 15:13:09,039 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 15:13:09,040 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 15:13:09,042 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2017-02-23 15:13:09,042 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2017-02-23 15:13:09,044 | INFO  | Could not accept connection during shutdown  : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2017-02-23 15:13:09,043 | INFO  | Could not accept connection during shutdown  : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2017-02-23 15:13:09,051 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 15:13:09,055 | INFO  | PListStore:[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2017-02-23 15:13:09,055 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-02-23 15:13:09,056 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-02-23 15:13:09,057 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-02-23 15:13:09,088 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-49225-1487832690485-0:1) uptime 21 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-02-23 15:13:09,089 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-49225-1487832690485-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-02-23 15:13:09,090 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@1878e1b0: startup date [Thu Feb 23 14:51:28 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2017-02-23 15:13:09,098 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2017-02-23 15:13:24,469 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@28e7d46e: startup date [Thu Feb 23 15:13:24 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2017-02-23 15:13:25,409 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 15:13:25,470 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2017-02-23 15:13:25,543 | INFO  | Recovering from the journal @1:41914 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2017-02-23 15:13:25,553 | INFO  | Recovery replayed 261 operations from the journal in 0.068 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2017-02-23 15:13:25,562 | INFO  | PListStore:[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2017-02-23 15:13:25,693 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-57002-1487834005573-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 15:13:25,779 | INFO  | Listening for connections at: tcp://GUOHAO4XC0AFBKU:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 15:13:25,783 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 15:13:25,788 | INFO  | Listening for connections at: amqp://GUOHAO4XC0AFBKU:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 15:13:25,790 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 15:13:25,795 | INFO  | Listening for connections at: stomp://GUOHAO4XC0AFBKU:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 15:13:25,798 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 15:13:25,804 | INFO  | Listening for connections at: mqtt://GUOHAO4XC0AFBKU:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 15:13:25,806 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 15:13:25,909 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@73ab7713{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2017-02-23 15:13:25,968 | INFO  | Listening for connections at ws://GUOHAO4XC0AFBKU:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2017-02-23 15:13:25,971 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 15:13:25,973 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-57002-1487834005573-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 15:13:25,975 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 15:13:25,986 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\kahadb only has 26748 mb of usable space. - resetting to maximum available disk space: 26748 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 15:13:25,994 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data only has 26748 mb of usable space. - resetting to maximum available disk space: 26748 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 15:13:26,643 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2017-02-23 15:13:26,781 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2017-02-23 15:13:26,782 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2017-02-23 15:13:26,845 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2017-02-23 15:13:27,134 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2017-02-23 15:13:27,749 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2017-02-23 15:16:14,499 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1548155174-51
2017-02-23 17:12:56,159 | WARN  | Illegal character 0x10 in state=START for buffer HeapByteBuffer@ecb00d4[p=1,l=35,c=16384,r=34]={\x10<<<!\x00\x04MQTT\x04\xC2\x00\x14\x00\x04test...admin\x00\x08password>>>\r\nHost: 127.0.0.1...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00} | org.eclipse.jetty.http.HttpParser | qtp1548155174-49
2017-02-23 17:12:56,290 | WARN  | badMessage: 400 Illegal character 0x10 for HttpChannelOverHttp@25716aa4{r=0,c=false,a=IDLE,uri=-} | org.eclipse.jetty.http.HttpParser | qtp1548155174-49
2017-02-23 17:12:56,359 | WARN  | Illegal character 0x10 in state=START for buffer HeapByteBuffer@3427f59d[p=1,l=37,c=16384,r=36]={\x10<<<#\x00\x06MQIsdp\x03\xC2\x00\x14\x00\x04te...admin\x00\x08password>>>0.0.1:8161\r\nConne...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00} | org.eclipse.jetty.http.HttpParser | qtp1548155174-48
2017-02-23 17:12:56,383 | WARN  | badMessage: 400 Illegal character 0x10 for HttpChannelOverHttp@23f3829e{r=0,c=false,a=IDLE,uri=-} | org.eclipse.jetty.http.HttpParser | qtp1548155174-48
2017-02-23 17:13:06,082 | WARN  | Illegal character 0x10 in state=START for buffer HeapByteBuffer@ecb00d4[p=1,l=35,c=16384,r=34]={\x10<<<!\x00\x04MQTT\x04\xC2\x00\x14\x00\x04test...admin\x00\x08password>>>\r\nHost: 127.0.0.1...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00} | org.eclipse.jetty.http.HttpParser | qtp1548155174-50
2017-02-23 17:13:06,093 | WARN  | badMessage: 400 Illegal character 0x10 for HttpChannelOverHttp@7569e6b2{r=0,c=false,a=IDLE,uri=-} | org.eclipse.jetty.http.HttpParser | qtp1548155174-50
2017-02-23 17:13:06,120 | WARN  | Illegal character 0x10 in state=START for buffer HeapByteBuffer@3427f59d[p=1,l=37,c=16384,r=36]={\x10<<<#\x00\x06MQIsdp\x03\xC2\x00\x14\x00\x04te...admin\x00\x08password>>>0.0.1:8161\r\nConne...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00} | org.eclipse.jetty.http.HttpParser | qtp1548155174-49
2017-02-23 17:13:06,137 | WARN  | badMessage: 400 Illegal character 0x10 for HttpChannelOverHttp@74cb2f25{r=0,c=false,a=IDLE,uri=-} | org.eclipse.jetty.http.HttpParser | qtp1548155174-49
2017-02-23 17:13:16,070 | WARN  | Illegal character 0x10 in state=START for buffer HeapByteBuffer@44cbeb94[p=1,l=35,c=16384,r=34]={\x10<<<!\x00\x04MQTT\x04\xC2\x00\x14\x00\x04test...admin\x00\x08password>>>7.0.0.1:8161\r\nCon...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00} | org.eclipse.jetty.http.HttpParser | qtp1548155174-48
2017-02-23 17:13:16,094 | WARN  | badMessage: 400 Illegal character 0x10 for HttpChannelOverHttp@5f0ca37{r=0,c=false,a=IDLE,uri=-} | org.eclipse.jetty.http.HttpParser | qtp1548155174-48
2017-02-23 17:13:16,121 | WARN  | Illegal character 0x10 in state=START for buffer HeapByteBuffer@7fd2f985[p=1,l=37,c=16384,r=36]={\x10<<<#\x00\x06MQIsdp\x03\xC2\x00\x14\x00\x04te...admin\x00\x08password>>>Host: 127.0.0.1:8...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00} | org.eclipse.jetty.http.HttpParser | qtp1548155174-51
